Publish date,flygtning,migrant,asylansøg,indvandre,immigrant
2013-06-24/2013-06-30,0,0,1,1,0
2013-07-01/2013-07-07,1,0,0,1,0
2013-07-15/2013-07-21,1,0,1,1,0
2013-07-22/2013-07-28,3,1,3,0,0
2013-07-29/2013-08-04,2,1,2,1,1
2013-08-05/2013-08-11,3,0,2,3,0
2013-08-12/2013-08-18,1,0,3,0,0
2013-08-19/2013-08-25,7,1,0,1,1
2013-08-26/2013-09-01,4,2,2,2,2
2013-09-02/2013-09-08,4,0,4,1,0
2013-09-09/2013-09-15,4,0,0,3,0
2013-09-16/2013-09-22,6,0,4,0,0
2013-09-23/2013-09-29,0,2,0,1,2
2013-09-30/2013-10-06,9,6,5,4,5
2013-10-07/2013-10-13,8,4,1,5,2
2013-10-14/2013-10-20,11,3,0,3,3
2013-10-21/2013-10-27,4,2,0,2,1
2013-10-28/2013-11-03,2,0,0,1,0
2013-11-04/2013-11-10,4,0,0,0,0
2013-11-11/2013-11-17,1,0,0,0,0
2013-11-18/2013-11-24,0,0,2,2,0
2013-11-25/2013-12-01,3,0,0,2,0
2013-12-02/2013-12-08,1,0,1,0,0
2013-12-09/2013-12-15,2,0,0,1,0
2013-12-16/2013-12-22,4,0,0,0,0
2013-12-23/2013-12-29,3,0,1,1,0
2013-12-30/2014-01-05,2,0,1,3,0
2014-01-06/2014-01-12,5,0,0,0,0
2014-01-13/2014-01-19,1,0,0,0,0
2014-01-27/2014-02-02,1,0,1,1,0
2014-02-03/2014-02-09,1,0,1,0,0
2014-02-10/2014-02-16,2,0,0,0,0
2014-02-17/2014-02-23,3,0,2,1,0
2014-02-24/2014-03-02,2,3,1,3,2
2014-03-03/2014-03-09,1,1,0,2,1
2014-03-10/2014-03-16,5,0,0,2,0
2014-03-17/2014-03-23,0,1,0,0,1
2014-03-31/2014-04-06,1,1,0,3,1
2014-04-07/2014-04-13,0,2,0,3,1
2014-04-14/2014-04-20,1,0,0,1,0
2014-04-21/2014-04-27,0,0,1,0,0
2014-05-05/2014-05-11,3,1,0,2,0
2014-05-12/2014-05-18,2,1,0,2,1
2014-05-19/2014-05-25,2,0,0,0,0
2014-05-26/2014-06-01,1,1,0,0,0
2014-06-02/2014-06-08,3,2,4,0,2
2014-06-09/2014-06-15,0,1,0,0,1
2014-06-16/2014-06-22,8,0,4,0,0
2014-06-23/2014-06-29,11,0,5,0,0
2014-06-30/2014-07-06,2,2,0,0,2
2014-07-07/2014-07-13,3,0,3,0,0
2014-07-14/2014-07-20,2,3,1,1,3
2014-07-21/2014-07-27,1,0,0,0,0
2014-07-28/2014-08-03,8,0,3,9,0
2014-08-04/2014-08-10,10,1,7,0,0
2014-08-11/2014-08-17,4,0,3,0,0
2014-08-18/2014-08-24,3,1,0,0,1
2014-08-25/2014-08-31,6,0,6,1,0
2014-09-01/2014-09-07,2,0,0,1,0
2014-09-08/2014-09-14,9,0,5,5,0
2014-09-15/2014-09-21,11,1,11,2,0
2014-09-22/2014-09-28,11,0,4,3,0
2014-09-29/2014-10-05,8,4,2,4,3
2014-10-06/2014-10-12,28,0,23,2,0
2014-10-13/2014-10-19,15,0,4,3,0
2014-10-20/2014-10-26,26,0,20,1,0
2014-10-27/2014-11-02,23,0,14,4,0
2014-11-03/2014-11-09,16,0,10,2,0
2014-11-10/2014-11-16,11,2,7,1,2
2014-11-17/2014-11-23,14,3,5,4,1
2014-11-24/2014-11-30,2,0,3,2,0
2014-12-01/2014-12-07,16,0,8,1,0
2014-12-08/2014-12-14,14,1,10,3,0
2014-12-15/2014-12-21,9,4,2,5,0
2014-12-22/2014-12-28,5,0,3,1,0
2014-12-29/2015-01-04,22,2,4,6,1
2015-01-05/2015-01-11,7,1,3,3,1
2015-01-12/2015-01-18,6,1,1,3,0
2015-01-19/2015-01-25,9,0,3,4,0
2015-01-26/2015-02-01,6,0,3,2,0
2015-02-02/2015-02-08,4,0,4,1,0
2015-02-09/2015-02-15,5,3,1,1,2
2015-02-16/2015-02-22,5,1,4,2,0
2015-02-23/2015-03-01,3,1,1,1,1
2015-03-02/2015-03-08,10,3,1,5,2
2015-03-09/2015-03-15,7,1,3,3,0
2015-03-16/2015-03-22,17,0,4,17,0
2015-03-23/2015-03-29,10,0,1,4,0
2015-03-30/2015-04-05,12,1,3,4,1
2015-04-06/2015-04-12,9,1,1,5,0
2015-04-13/2015-04-19,16,6,4,5,1
2015-04-20/2015-04-26,39,24,10,3,8
2015-04-27/2015-05-03,12,2,0,7,0
2015-05-04/2015-05-10,7,4,2,0,0
2015-05-11/2015-05-17,18,11,9,1,3
2015-05-18/2015-05-24,13,5,2,2,3
2015-05-25/2015-05-31,13,6,3,2,1
2015-06-01/2015-06-07,32,1,15,9,0
2015-06-08/2015-06-14,43,3,27,9,0
2015-06-15/2015-06-21,15,2,9,9,0
2015-06-22/2015-06-28,8,3,3,1,0
2015-06-29/2015-07-05,10,0,3,2,0
2015-07-06/2015-07-12,11,0,1,0,0
2015-07-13/2015-07-19,8,1,3,1,0
2015-07-20/2015-07-26,16,5,5,1,1
2015-07-27/2015-08-02,9,8,8,0,2
2015-08-03/2015-08-09,18,9,6,1,2
2015-08-10/2015-08-16,19,3,6,3,0
2015-08-17/2015-08-23,21,3,8,2,0
2015-08-24/2015-08-30,24,12,10,1,1
2015-08-31/2015-09-06,71,32,19,4,0
2015-09-07/2015-09-13,67,33,23,4,1
2015-09-14/2015-09-20,82,20,10,2,5
2015-09-21/2015-09-27,45,12,7,9,1
2015-09-28/2015-10-04,18,6,5,2,2
2015-10-05/2015-10-11,25,11,5,1,1
2015-10-12/2015-10-18,26,16,4,2,0
2015-10-19/2015-10-25,31,11,12,7,0
2015-10-26/2015-11-01,18,9,8,4,0
2015-11-02/2015-11-08,35,9,14,2,0
2015-11-09/2015-11-15,67,27,36,6,3
2015-11-16/2015-11-22,31,11,20,2,0
2015-11-23/2015-11-29,30,10,17,1,0
2015-11-30/2015-12-06,23,10,16,1,1
2015-12-07/2015-12-13,28,8,20,1,0
2015-12-14/2015-12-20,22,7,8,0,0
2015-12-21/2015-12-27,20,5,6,0,0
2015-12-28/2016-01-03,29,10,16,3,0
2016-01-04/2016-01-10,52,22,36,4,0
2016-01-11/2016-01-17,72,20,45,10,2
2016-01-18/2016-01-24,43,8,27,4,1
2016-01-25/2016-01-31,54,12,43,7,0
2016-02-01/2016-02-07,34,7,21,5,0
2016-02-08/2016-02-14,40,7,12,6,1
2016-02-15/2016-02-21,26,6,10,2,0
2016-02-22/2016-02-28,33,15,10,3,0
2016-02-29/2016-03-06,26,20,12,0,0
2016-03-07/2016-03-13,30,13,5,6,1
2016-03-14/2016-03-20,27,4,7,3,0
2016-03-21/2016-03-27,5,2,2,4,0
2016-03-28/2016-04-03,20,6,4,1,1
2016-04-04/2016-04-10,15,7,13,1,1
2016-04-11/2016-04-17,13,7,5,2,0
2016-04-18/2016-04-24,22,11,8,6,1
2016-04-25/2016-05-01,15,13,7,5,4
2016-05-02/2016-05-08,20,5,13,1,0
2016-05-09/2016-05-15,7,4,4,2,1
2016-05-16/2016-05-22,8,5,7,3,1
2016-05-23/2016-05-29,16,9,7,3,0
2016-05-30/2016-06-05,21,8,8,4,0
2016-06-06/2016-06-12,10,4,2,1,1
2016-06-13/2016-06-19,20,7,7,0,0
2016-06-20/2016-06-26,10,6,3,3,2
2016-06-27/2016-07-03,10,1,9,3,0
2016-07-04/2016-07-10,9,5,5,1,1
2016-07-11/2016-07-17,9,1,2,0,0
2016-07-18/2016-07-24,4,1,0,0,0
2016-07-25/2016-07-31,12,4,11,7,0
2016-08-01/2016-08-07,4,2,4,0,1
2016-08-08/2016-08-14,16,4,9,1,1
2016-08-15/2016-08-21,14,5,6,0,0
2016-08-22/2016-08-28,20,4,13,3,1
2016-08-29/2016-09-04,30,17,20,9,3
2016-09-05/2016-09-11,22,11,7,4,0
2016-09-12/2016-09-18,22,9,8,5,0
2016-09-19/2016-09-25,23,10,7,2,0
2016-09-26/2016-10-02,21,13,6,3,3
2016-10-03/2016-10-09,9,2,3,1,0
2016-10-10/2016-10-16,9,5,2,0,1
2016-10-17/2016-10-23,13,5,1,3,0
2016-10-24/2016-10-30,22,19,8,0,3
2016-10-31/2016-11-06,13,8,9,2,1
2016-11-07/2016-11-13,11,9,4,2,5
2016-11-14/2016-11-20,11,5,4,5,1
2016-11-21/2016-11-27,29,11,4,17,1
2016-11-28/2016-12-04,11,3,1,7,2
2016-12-05/2016-12-11,10,6,4,2,2
2016-12-12/2016-12-18,3,1,3,1,0
2016-12-19/2016-12-25,8,3,4,1,0
2016-12-26/2017-01-01,14,5,5,3,0
2017-01-02/2017-01-08,14,7,8,2,0
2017-01-09/2017-01-15,10,2,2,2,1
2017-01-16/2017-01-22,9,4,6,4,1
2017-01-23/2017-01-29,23,12,3,4,8
2017-01-30/2017-02-05,20,10,4,1,1
2017-02-06/2017-02-12,9,5,5,6,2
2017-02-13/2017-02-19,4,4,1,5,1
2017-02-20/2017-02-26,13,9,7,15,5
2017-02-27/2017-03-05,6,4,1,3,2
2017-03-06/2017-03-12,11,3,1,2,0
2017-03-13/2017-03-19,12,6,3,3,2
2017-03-20/2017-03-26,15,3,10,5,0
2017-03-27/2017-04-02,10,6,7,4,2
2017-04-03/2017-04-09,7,3,1,4,1
2017-04-10/2017-04-16,9,3,8,5,0
2017-04-17/2017-04-23,13,8,4,6,0
2017-04-24/2017-04-30,17,11,6,9,5
2017-05-01/2017-05-07,9,4,8,2,2
2017-05-08/2017-05-14,7,5,2,1,0
2017-05-15/2017-05-21,10,4,3,1,0
2017-05-22/2017-05-28,0,0,1,0,0
2017-05-29/2017-06-04,8,1,4,0,0
2017-06-05/2017-06-11,3,0,1,3,0
2017-06-12/2017-06-18,7,3,7,0,1
2017-06-19/2017-06-25,7,2,4,0,0
2017-06-26/2017-07-02,7,4,3,0,0
2017-07-03/2017-07-09,9,7,3,0,0
2017-07-10/2017-07-16,5,5,1,2,0
2017-07-17/2017-07-23,3,3,0,0,0
2017-07-24/2017-07-30,4,4,1,0,0
2017-07-31/2017-08-06,2,1,1,1,0
2017-08-07/2017-08-13,8,9,2,0,2
2017-08-14/2017-08-20,7,4,2,1,0
2017-08-21/2017-08-27,5,1,3,1,0
2017-08-28/2017-09-03,10,6,3,1,1
2017-09-04/2017-09-10,15,8,4,5,2
2017-09-11/2017-09-17,23,8,5,4,1
2017-09-18/2017-09-24,19,4,5,8,0
2017-09-25/2017-10-01,8,5,0,4,1
2017-10-02/2017-10-08,7,1,4,3,0
2017-10-09/2017-10-15,9,8,3,3,2
2017-10-16/2017-10-22,14,3,3,3,0
2017-10-23/2017-10-29,5,1,1,3,0
2017-10-30/2017-11-05,8,4,0,4,1
2017-11-06/2017-11-12,8,2,6,0,0
2017-11-13/2017-11-19,5,2,2,1,0
2017-11-20/2017-11-26,14,4,1,8,0
2017-11-27/2017-12-03,15,11,4,0,1
2017-12-04/2017-12-10,12,1,7,1,0
2017-12-11/2017-12-17,16,3,4,1,0
2017-12-18/2017-12-24,9,8,5,1,0
2017-12-25/2017-12-31,5,0,3,2,0
2018-01-01/2018-01-07,8,3,6,3,0
2018-01-08/2018-01-14,7,6,3,2,3
2018-01-15/2018-01-21,4,4,2,3,3
2018-01-22/2018-01-28,7,7,4,6,2
2018-01-29/2018-02-04,12,7,3,7,3
2018-02-05/2018-02-11,19,11,12,5,3
2018-02-12/2018-02-18,5,3,2,1,1
2018-02-19/2018-02-25,6,3,6,5,0
2018-02-26/2018-03-04,8,6,1,7,1
2018-03-05/2018-03-11,5,3,1,1,0
2018-03-12/2018-03-18,3,4,1,1,1
2018-03-19/2018-03-25,1,0,0,1,0
2018-03-26/2018-04-01,3,1,1,1,1
2018-04-02/2018-04-08,2,3,0,0,0
2018-04-09/2018-04-15,3,0,1,1,0
2018-04-16/2018-04-22,1,1,0,1,1
2018-04-23/2018-04-29,4,2,2,2,0
2018-04-30/2018-05-06,3,5,2,1,3
2018-05-07/2018-05-13,10,1,2,1,1
2018-05-14/2018-05-20,1,1,0,2,0
