Link,Searchterm
http://dr.dk/nyheder/indland/kirke-iranere-indtager-kommunens-lokaler,asylansøg
http://dr.dk/nyheder/indland/organisation-opgiver-hjaelp-til-kirke-iranere,asylansøg
http://dr.dk/nyheder/udland/asylansoegerboern-skal-have-saerbehandling,asylansøg
http://dr.dk/nyheder/indland/iranere-faar-lov-til-blive-i-kirke,asylansøg
http://dr.dk/nyheder/indland/iranere-i-kirke-skal-stoppe-sultestrejke,asylansøg
http://dr.dk/nyheder/politik/mere-end-dobbelt-saa-mange-soeger-asyl-i-danmark,asylansøg
http://dr.dk/nyheder/indland/nye-asylcentre-aabner-paa-stribe,asylansøg
http://dr.dk/nyheder/indland/presset-stiger-fortsat-paa-asylsystemet,asylansøg
http://dr.dk/nyheder/indland/20000-kr-rejse-frivilligt-hjem,asylansøg
http://dr.dk/nyheder/indland/25-indsatte-sultestrejker-i-asylfaengsel,asylansøg
http://dr.dk/nyheder/indland/sultestrejkende-iranere-faar-ny-frist,asylansøg
http://dr.dk/nyheder/indland/sultestrejkende-iranere-haaber-paa-ny-frist,asylansøg
http://dr.dk/nyheder/indland/koebenhavn-venter-med-smide-iranere-ud,asylansøg
http://dr.dk/nyheder/udland/40000-flere-soegte-om-asyl-i-eu-sidste-aar,asylansøg
http://dr.dk/nyheder/indland/domstol-stopper-tvangsudsendelser-igen,asylansøg
http://dr.dk/nyheder/udland/norsk-politi-oensker-indgreb-mod-asylsoegere,asylansøg
http://dr.dk/nyheder/politik/enhedslisten-kraever-asylloefte-holdt,asylansøg
http://dr.dk/nyheder/indland/ros-hurtigere-asylbehandling,asylansøg
http://dr.dk/nyheder/udland/juleoeen-rammes-af-tragedie-paa-havet,asylansøg
http://dr.dk/nyheder/indland/domstol-bremser-155-danske-udvisninger,asylansøg
http://dr.dk/nyheder/indland/21-aarig-er-skyldig-i-sexoverfald-ved-kirke,asylansøg
http://dr.dk/nyheder/politik/radikal-borgmester-gaar-imod-regeringens-politik,asylansøg
http://dr.dk/nyheder/indland/19-aarig-faengslet-sexoverfald,asylansøg
http://dr.dk/nyheder/kultur/roskilde-festival-er-ekstra-socialpolitisk-i-aar,asylansøg
http://dr.dk/nyheder/politik/regeringen-praesenterer-asylplan,asylansøg
http://dr.dk/nyheder/somaliske-flygtninge-i-koe-ved-graensen,asylansøg
http://dr.dk/nyheder/indland/dansk-flygtningehjaelp-dom-boer-ogsaa-gaelde-i-danmark,asylansøg
http://dr.dk/nyheder/indland/roede-kors-flygtningesager-boer-behandles-i-danmark,asylansøg
http://dr.dk/nyheder/indland/baggrund-asyl-sagen-i-belgien,asylansøg
http://dr.dk/nyheder/indland/danmark-kan-sende-afviste-tamiler-hjem,asylansøg
http://dr.dk/nyheder/indland/politiet-afviser-kritik-i-asylsag,asylansøg
