id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
495;data_gathering;requests;1566423945.023842;-0.002588987350463867;http://dr.dk/nyheder/udland/dbu-vi-kan-ikke-udtale-os-om-slaveforhold;;0;;False;HTTPConnectionPool(host='dr.dk', port=80): Max retries exceeded with url: /nyheder/udland/dbu-vi-kan-ikke-udtale-os-om-slaveforhold (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x114dec9e8>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
496;data_gathering;requests;1566423945.534701;-0.0023698806762695312;http://dr.dk/nyheder/udland/dbu-vi-kan-ikke-udtale-os-om-slaveforhold;;0;;False;HTTPConnectionPool(host='dr.dk', port=80): Max retries exceeded with url: /nyheder/udland/dbu-vi-kan-ikke-udtale-os-om-slaveforhold (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x114ea27f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
497;data_gathering;requests;1566423946.037481;-0.003278970718383789;http://dr.dk/nyheder/udland/dbu-vi-kan-ikke-udtale-os-om-slaveforhold;;0;;False;HTTPConnectionPool(host='dr.dk', port=80): Max retries exceeded with url: /nyheder/udland/dbu-vi-kan-ikke-udtale-os-om-slaveforhold (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x114decbe0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
498;data_gathering;requests;1566423948.5279412;-0.8980867862701416;http://dr.dk/nyheder/kultur/kulturklubber/ung-forfatter-vi-ser-alt-overfladisk-paa-hinandens-kultur;https://www.dr.dk/nyheder/kultur/kulturklubber/ung-forfatter-vi-ser-alt-overfladisk-paa-hinandens-kultur;40447;200;True;
499;data_gathering;requests;1566423950.956207;-0.836820125579834;http://dr.dk/nyheder/indland/kloge-udlaendinge-bliver-overset;https://www.dr.dk/nyheder/indland/kloge-udlaendinge-bliver-overset;32726;200;True;
500;data_gathering;requests;1566423954.213104;-0.7549519538879395;http://dr.dk/nyheder/udland/skibbrudne-flygtninge-reddet-ved-malta;https://www.dr.dk/nyheder/udland/skibbrudne-flygtninge-reddet-ved-malta;30079;200;True;
501;data_gathering;requests;1566423956.98466;-0.8510031700134277;http://dr.dk/nyheder/udland/stater-vil-begraense-usas-immigration;https://www.dr.dk/nyheder/udland/stater-vil-begraense-usas-immigration;30871;200;True;
502;data_gathering;requests;1566423960.1660879;-0.7424790859222412;http://dr.dk/nyheder/udland/borgmester-draebt-i-mexicansk-narkokrig;https://www.dr.dk/nyheder/udland/borgmester-draebt-i-mexicansk-narkokrig;27990;200;True;
503;data_gathering;requests;1566423962.529807;-0.8341047763824463;http://dr.dk/nyheder/udland/eu-skal-bevogte-graesk-tyrkisk-graense;https://www.dr.dk/nyheder/udland/eu-skal-bevogte-graesk-tyrkisk-graense;28399;200;True;
504;data_gathering;requests;1566423964.936956;-0.7909860610961914;http://dr.dk/nyheder/udland/usa-politi-anholder-47-menneskesmuglere;https://www.dr.dk/nyheder/udland/usa-politi-anholder-47-menneskesmuglere;27356;200;True;
505;data_gathering;requests;1566423967.386749;-0.7027177810668945;http://dr.dk/nyheder/udland/betjente-forsvundet-under-drabssag-i-mexico;https://www.dr.dk/nyheder/udland/betjente-forsvundet-under-drabssag-i-mexico;32442;200;True;
506;data_gathering;requests;1566423970.004551;-0.7328372001647949;http://dr.dk/nyheder/udland/godstog-afsporet-i-mexico-flere-doede-og-kvaestede;https://www.dr.dk/nyheder/udland/godstog-afsporet-i-mexico-flere-doede-og-kvaestede;27581;200;True;
507;data_gathering;requests;1566423973.170159;-0.8565518856048584;http://dr.dk/nyheder/udland/russiske-nationalister-jager-drabsmand-i-selvtaegt;https://www.dr.dk/nyheder/udland/russiske-nationalister-jager-drabsmand-i-selvtaegt;32875;200;True;
508;data_gathering;requests;1566423975.8868961;-0.9949378967285156;http://dr.dk/nyheder/udland/baadulykke-skaber-fokus-paa-flygtningeproblem;https://www.dr.dk/nyheder/udland/baadulykke-skaber-fokus-paa-flygtningeproblem;33057;200;True;
509;data_gathering;requests;1566423979.22628;-0.9324679374694824;http://dr.dk/nyheder/udland/italien-flager-paa-halv-300-baadflygtninge;https://www.dr.dk/nyheder/udland/italien-flager-paa-halv-300-baadflygtninge;30833;200;True;
510;data_gathering;requests;1566423982.603648;-0.8333241939544678;http://dr.dk/nyheder/udland/menneskelast-til-19-millioner;https://www.dr.dk/nyheder/udland/menneskelast-til-19-millioner;36735;200;True;
511;data_gathering;requests;1566423985.203836;-0.7909979820251465;http://dr.dk/nyheder/udland/graesk-kystvagt-anholder-78-syriske-flygtninge-paa-rhodos;https://www.dr.dk/nyheder/udland/graesk-kystvagt-anholder-78-syriske-flygtninge-paa-rhodos;27080;200;True;
512;data_gathering;requests;1566423988.337079;-0.6403348445892334;http://dr.dk/nyheder/udland/mindst-12-baadflygtninge-er-druknet-ud-egypten;https://www.dr.dk/nyheder/udland/mindst-12-baadflygtninge-er-druknet-ud-egypten;27697;200;True;
513;data_gathering;requests;1566423991.139744;-0.7224760055541992;http://dr.dk/nyheder/udland/usa-deporterede-400000-i-2009;https://www.dr.dk/nyheder/udland/usa-deporterede-400000-i-2009;28133;200;True;
514;data_gathering;requests;1566423993.553799;-0.678504228591919;http://dr.dk/sporten/fodbold/italiensk-super-cup-maaske-i-udlandet;https://www.dr.dk/sporten/fodbold/italiensk-super-cup-maaske-i-udlandet;26166;200;True;
515;data_gathering;requests;1566423996.4746711;-0.7079827785491943;http://dr.dk/nyheder/kultur/musik/legendarisk-klavermager-solgt-29-milliarder;https://www.dr.dk/nyheder/kultur/musik/legendarisk-klavermager-solgt-29-milliarder;30783;200;True;
516;data_gathering;requests;1566423998.9449651;-0.7292859554290771;http://dr.dk/nyheder/udland/arnold-vil-betale-mexico-faengsler;https://www.dr.dk/nyheder/udland/arnold-vil-betale-mexico-faengsler;26441;200;True;
517;data_gathering;requests;1566424001.413904;-0.7700741291046143;http://dr.dk/nyheder/udland/nationalister-faar-medvind-ved-britisk-lokalvalg;https://www.dr.dk/nyheder/udland/nationalister-faar-medvind-ved-britisk-lokalvalg;30518;200;True;
518;data_gathering;requests;1566424004.350365;-0.750770092010498;http://dr.dk/nyheder/udland/graesk-politi-griber-ind-over-racistisk-aktion;https://www.dr.dk/nyheder/udland/graesk-politi-griber-ind-over-racistisk-aktion;30632;200;True;
